date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location,label
1/17/2018,8,0,0,8.7,2,0,9:34 AM,7:27 PM,9:14 AM,6:36 PM,-2,0,3,0,22,26,70,0,1028,8,10,118,12,83706,0
1/18/2018,12,4,0,7,3,6,10:10 AM,8:24 PM,9:13 AM,6:38 PM,1,4,7,4,37,47,67,2.7,1014,12,10,144,20,83706,1
1/19/2018,4,1,0,7,1,13,10:44 AM,9:25 PM,9:13 AM,6:39 PM,-1,1,3,1,14,55,75,3.3,1014,4,10,194,10,83706,1
1/20/2018,3,-2,0,8.7,2,20,11:15 AM,10:25 PM,9:12 AM,6:40 PM,-5,-2,0,-2,12,14,69,0,1021,3,10,247,8,83706,0
1/21/2018,4,-2,0,8.7,2,28,11:44 AM,11:28 PM,9:11 AM,6:41 PM,-6,-1,1,-1,12,26,64,0,1026,4,10,189,7,83706,0
1/22/2018,3,0,2,7,2,35,12:12 PM,No moonset,9:11 AM,6:43 PM,-2,-2,1,-2,18,62,83,2.3,1026,3,8,164,11,83706,1
1/23/2018,4,-2,0,5.2,2,42,12:40 PM,12:31 AM,9:10 AM,6:44 PM,-4,-3,1,-3,24,55,68,0,1028,4,10,110,13,83706,0
1/24/2018,7,2,0,5.2,2,49,1:10 PM,1:37 AM,9:09 AM,6:45 PM,-3,0,5,0,43,56,59,0,1017,7,10,125,22,83706,0
1/25/2018,5,0,4.1,8.7,2,57,1:44 PM,2:44 AM,9:08 AM,6:47 PM,-3,0,3,0,19,58,67,5.6,1012,5,8,219,11,83706,1
1/26/2018,4,-1,0.2,8.7,2,64,2:22 PM,3:54 AM,9:07 AM,6:48 PM,-5,-1,1,-1,11,63,67,0.8,1025,4,9,192,7,83706,1
1/27/2018,3,0,0.5,3.5,1,71,3:07 PM,5:04 AM,9:06 AM,6:49 PM,-2,-2,1,-2,23,93,76,3.6,1028,3,9,116,13,83706,1
1/28/2018,8,2,0,8.7,2,78,4:01 PM,6:13 AM,9:05 AM,6:51 PM,2,3,4,3,14,40,84,0.2,1033,8,9,89,8,83706,1
1/29/2018,8,3,0,5.3,3,86,5:03 PM,7:19 AM,9:04 AM,6:52 PM,0,3,5,3,19,48,70,0,1029,8,10,107,10,83706,0
1/30/2018,10,3,0,7,3,93,6:13 PM,8:17 AM,9:03 AM,6:53 PM,0,4,7,4,25,63,61,0.5,1017,10,9,206,14,83706,1
1/31/2018,4,0,0,8.7,2,97,7:26 PM,9:08 AM,9:02 AM,6:55 PM,-5,-1,2,-1,13,30,62,0,1024,4,10,290,8,83706,0
2/1/2018,6,0,0,7,2,88,8:40 PM,9:51 AM,9:01 AM,6:56 PM,-5,1,3,1,10,52,57,0,1026,6,10,76,5,83706,0
