date_time,maxtempC,mintempC,cloudcover,humidity,pressure,tempC,visibility,label
5/12/2019,34,23,33,63,1015,34,9,1
5/13/2019,35,22,12,61,1016,35,10,0
5/14/2019,36,23,10,56,1016,36,10,0
5/15/2019,37,23,19,53,1015,37,10,1
5/16/2019,37,22,44,63,1015,37,10,1
5/17/2019,36,22,44,64,1015,36,10,1
5/18/2019,34,20,65,68,1014,34,9,1
5/19/2019,34,19,58,65,1015,34,10,1
5/20/2019,36,22,37,65,1014,36,9,1
5/21/2019,35,22,37,65,1014,35,10,1
5/22/2019,31,22,59,68,1015,31,10,1
5/23/2019,32,20,80,75,1014,32,8,1
5/24/2019,34,22,51,72,1014,34,9,1
5/25/2019,32,21,53,70,1014,32,10,1
5/26/2019,33,20,60,75,1015,33,9,1
5/27/2019,32,20,66,79,1014,32,7,1
5/28/2019,31,22,60,71,1014,31,10,1
5/29/2019,27,20,63,78,1014,27,8,1
5/30/2019,28,21,74,76,1015,28,8,1
5/31/2019,32,21,50,72,1014,32,8,1
6/1/2019,32,21,44,70,1014,32,9,1
6/2/2019,33,22,36,69,1014,33,10,1
6/3/2019,33,22,43,71,1015,33,9,1
6/4/2019,34,22,45,71,1016,34,9,1
6/5/2019,36,23,48,71,1015,36,9,1
6/6/2019,35,22,62,69,1014,35,9,1
6/7/2019,34,22,63,69,1014,34,9,1
6/8/2019,34,22,57,60,1015,34,10,1
6/9/2019,34,22,46,63,1016,34,17,1
6/10/2019,35,22,40,64,1016,35,10,1
6/11/2019,35,22,14,58,1016,35,15,0
6/12/2019,32,22,25,64,1017,32,18,1
6/13/2019,34,22,37,69,1017,34,19,1
6/14/2019,31,21,52,76,1016,31,18,1
6/15/2019,32,22,46,75,1016,32,18,1
6/16/2019,33,22,27,76,1016,33,17,1
6/17/2019,33,22,33,77,1017,33,18,1
6/18/2019,32,22,17,75,1017,32,16,1
6/19/2019,32,23,32,72,1016,32,8,1
6/20/2019,33,23,19,69,1017,33,10,1
6/21/2019,33,23,6,62,1018,33,10,0
6/22/2019,36,22,24,67,1019,36,10,1
6/23/2019,32,22,47,75,1017,32,9,1
6/24/2019,32,22,50,76,1016,32,9,1
6/25/2019,32,23,45,74,1016,32,10,1
6/26/2019,30,21,58,78,1016,30,8,1
6/27/2019,31,17,52,81,1016,31,8,1
6/28/2019,31,21,55,74,1016,31,10,1
6/29/2019,30,23,47,75,1017,30,10,1
6/30/2019,32,23,34,74,1017,32,10,1
7/1/2019,35,23,14,73,1017,35,10,1
7/2/2019,34,23,44,77,1016,34,7,1
7/3/2019,32,20,54,77,1015,32,9,1
7/4/2019,32,22,37,73,1015,32,10,1
7/5/2019,31,22,25,72,1017,31,10,1
7/6/2019,30,22,44,77,1017,30,8,1
7/7/2019,32,21,36,75,1016,32,9,1
7/8/2019,32,22,59,78,1016,32,9,1
7/9/2019,33,22,40,73,1017,33,10,1
7/10/2019,32,22,56,72,1017,32,10,1
7/11/2019,31,21,18,74,1016,31,10,1
7/12/2019,30,21,27,73,1015,30,10,1
7/13/2019,31,22,50,73,1015,31,10,1
7/14/2019,33,22,57,76,1016,33,10,1
7/15/2019,33,22,54,76,1016,33,9,1
7/16/2019,32,22,46,74,1017,32,10,1
7/17/2019,31,21,47,76,1017,31,9,1
7/18/2019,32,22,48,72,1016,32,10,1
7/19/2019,33,23,35,69,1016,33,9,1
7/20/2019,31,22,38,74,1015,31,9,1
7/21/2019,32,22,50,76,1015,32,9,1
7/22/2019,30,21,54,73,1015,30,9,1
7/23/2019,30,22,39,73,1016,30,10,1
7/24/2019,31,22,47,74,1017,31,10,1
7/25/2019,32,21,25,74,1016,32,10,1
7/26/2019,32,21,26,74,1017,32,10,1
7/27/2019,35,23,27,77,1018,35,9,1
7/28/2019,33,20,58,81,1016,33,7,1
7/29/2019,31,21,50,79,1014,31,8,1
7/30/2019,31,20,57,81,1013,31,8,1
7/31/2019,30,20,52,81,1013,30,8,1
8/1/2019,29,20,75,82,1014,29,6,1
8/2/2019,30,21,35,76,1014,30,10,1
8/3/2019,30,22,47,76,1015,30,9,1
8/4/2019,30,23,46,74,1016,30,10,1
8/5/2019,32,23,42,75,1015,32,10,1
8/6/2019,30,22,31,77,1015,30,10,1
8/7/2019,33,22,38,73,1016,33,10,1
8/8/2019,30,22,67,77,1016,30,9,1
8/9/2019,30,21,46,76,1015,30,10,1
8/10/2019,32,23,35,72,1015,32,9,1
8/11/2019,34,23,38,72,1016,34,10,1
8/12/2019,30,22,46,76,1014,30,10,1
8/13/2019,31,22,46,73,1014,31,9,1
8/14/2019,31,22,45,77,1016,31,9,1
8/15/2019,33,22,36,73,1017,33,10,1
8/16/2019,31,21,44,74,1017,31,10,1
8/17/2019,29,17,56,80,1017,29,8,1
8/18/2019,29,22,44,79,1015,29,8,1
8/19/2019,30,19,37,77,1015,30,9,1
8/20/2019,33,23,35,75,1016,33,9,1
8/21/2019,30,22,45,75,1016,30,9,1
8/22/2019,31,21,50,79,1015,31,8,1
8/23/2019,30,21,48,80,1015,30,9,1
8/24/2019,31,22,37,75,1015,31,10,1
8/25/2019,31,21,25,75,1015,31,10,1
8/26/2019,32,22,31,74,1015,32,10,1
8/27/2019,32,21,32,75,1014,32,10,1
8/28/2019,31,21,48,77,1013,31,10,1
8/29/2019,30,22,47,75,1012,30,9,1
8/30/2019,30,22,41,74,1013,30,9,1
8/31/2019,30,21,45,76,1013,30,9,1
9/1/2019,31,22,40,76,1013,31,10,1
9/2/2019,30,22,50,77,1012,30,10,1
9/3/2019,30,22,38,75,1013,30,10,1
9/4/2019,31,22,37,75,1015,31,10,1
9/5/2019,30,23,50,80,1015,30,9,1
9/6/2019,30,21,63,82,1014,30,8,1
9/7/2019,29,20,76,84,1013,29,8,1
9/8/2019,29,19,58,84,1015,29,7,1
9/9/2019,29,20,58,84,1015,29,7,1
9/10/2019,29,20,60,81,1014,29,8,1
9/11/2019,29,21,36,77,1012,29,10,1
9/12/2019,31,20,34,77,1012,31,10,1
9/13/2019,31,22,49,78,1013,31,10,1
9/14/2019,31,22,45,78,1014,31,9,1
9/15/2019,0,0,76,95,1015,0,9,1
9/16/2019,27,0,68,83,1013,27,8,1
9/17/2019,30,22,58,81,1012,30,8,1
9/18/2019,30,22,51,79,1010,30,8,1
9/19/2019,29,21,60,81,1009,29,8,1
9/20/2019,28,20,70,85,1011,28,9,1
9/21/2019,30,21,65,84,1013,30,8,1
9/22/2019,31,21,72,84,1013,31,8,1
9/23/2019,29,21,77,85,1012,29,6,1
9/24/2019,28,21,60,84,1010,28,8,1
9/25/2019,27,18,61,88,1011,27,7,1
